title,developers,publishers,release_date,platforms,genres,score,reviewed_by
Arkham Horror: Mother's Embrace ,Artefacts Studio,Asmodee Digital,2021-03-23,"Xbox One,  PlayStation 4,  Nintendo Switch,  PC","Horror,  Strategy",5,Jarrett Green
Disco Elysium - The Final Cut ,ZA/UM,ZA/UM,2021-03-30,"PlayStation 5,  PlayStation 4,  iPhone,  Stadia,  PC,  Xbox Series X|S,  Nintendo Switch,  Xbox One",RPG,10,Simon Cardy
Balan Wonderworld ,Balan Company,Square Enix,2021-03-26,"Nintendo Switch,  PlayStation 4,  PlayStation 5,  Xbox One,  Xbox Series X|S,  PC","Action,  Platformer",4,Tom Marks
Can't Drive This ,Pixel Maniacs,Pixel Maniacs,2016-09-25,"PC,  Nintendo Switch,  Xbox One,  Xbox Series X|S,  PlayStation 4,  PlayStation 5",Racing,7,Luke Reilly
Narita Boy ,Studio Koba,Team17 Software,2021-03-30,"Nintendo Switch,  PlayStation 4,  Xbox One,  PC,  Luna","Action,  Adventure",6,Mitchell Saltzman
Evil Genius 2: World Domination ,Rebellion,Rebellion,2021-03-31,"PC,  PlayStation 5,  PlayStation 4,  Xbox Series X|S,  Xbox One",Strategy,6,Leana Hafer
Immortals Fenyx Rising - Myths of the Eastern Realm ,Ubisoft Quebec City,Ubisoft,2020-12-03,"Xbox Series X|S,  PlayStation 5,  Nintendo Switch,  Stadia,  PC,  Xbox One,  PlayStation 4",Action,6,Cam Shea
It Takes Two ,Hazelight Studios,Electronic Arts,2021-03-26,"Xbox Series X|S,  Xbox One,  PlayStation 5,  PlayStation 4,  PC","Action,  Adventure,  Platformer",9,Tristan Ogilvie
Paradise Lost ,PolyAmorous,All in! Games,2021-03-24,"Xbox One,  PlayStation 4,  PC","Adventure,  First-Person",5,Tristan Ogilvie
Doom Eternal: The Ancient Gods Part 2 ,"Id Software,  Panic Button",Bethesda  Softworks,2020-03-20,"Stadia,  PlayStation 4,  Xbox One,  PC,  Nintendo Switch",Shooter,8,Ryan McCaffrey
Monster Hunter Rise ,Capcom,Capcom,2021-03-25,"Nintendo Switch,  PC",Action,8,Tom Marks
Story of Seasons: Pioneers of Olive Town ,Marvelous Entertainment,"Marvelous Entertainment, Xseed Games",2021-03-23,"Nintendo Switch,  PC","RPG,  Simulation",7,Rebekah Valentine
Loop Hero ,Four Quarters Team,Devolver Digital,2021-03-04,"PC,  Nintendo Switch",RPG,8,Jon Bolding
AMD Radeon RX 6700 XT ,,AMD,,PC,"Hardware,  Graphics Card (GPU)",7,Chris Coke
The Outer Worlds: Murder on Eridanos DLC ,"Obsidian Entertainment,  Virtuos Games",Private Division,2019-10-25,"PlayStation 4,  PC,  Xbox One,  Nintendo Switch",RPG,7,Dan Stapleton
Apex Legends  - 2021,"Panic Button,  Respawn Entertainment",Electronic Arts,2019-02-04,"PlayStation 4,  Xbox One,  PC,  Nintendo Switch","Shooter,  Battle Royale",9,Stella Chung
Xbox Wireless Headset ,,Microsoft,2020-11-10,Xbox Series X|S,Hardware,8,Mike Epstein
PixelJunk Raiders ,Q-Games,Q-Games,2021-03-01,Stadia,"Action,  RPG,  Roguelike / Rogue-Lite",4,Joseph Knoop
Dead By Daylight ,Behaviour Interactive,Behaviour Interactive,2016-06-14,"PC,  Xbox One,  PlayStation 4,  Nintendo Switch,  Stadia,  Xbox Series X|S,  PlayStation 5",Action,9,Mike Epstein
Harvest Moon: One World ,Natsume,"Natsume, Rising Star Games",2021-03-02,"Nintendo Switch,  PlayStation 4,  Xbox One","RPG,  Simulation",5,Rebekah Valentine
